project,lineage_creator,evolution_pattern,total_occurrences,sum_n_evo,human_occurrences,human_sum_n_evo,agent_occurrences,agent_sum_n_evo
marimo-team/marimo,human,Subtract,1,2,1,2,0,0
marimo-team/marimo,human,Add,0,0,0,0,0,0
marimo-team/marimo,agent,Subtract,3,4,2,3,1,1
marimo-team/marimo,agent,Add,3,8,3,8,0,0
airbytehq/airbyte,human,Subtract,70,86,25,29,45,57
airbytehq/airbyte,human,Add,56,66,24,30,32,36
airbytehq/airbyte,agent,Subtract,0,0,0,0,0,0
airbytehq/airbyte,agent,Add,0,0,0,0,0,0
microsoft/testfx,human,Subtract,3,5,2,4,1,1
microsoft/testfx,human,Add,2,3,1,2,1,1
microsoft/testfx,agent,Subtract,0,0,0,0,0,0
microsoft/testfx,agent,Add,0,0,0,0,0,0
antiwork/flexile,human,Subtract,14,14,2,2,12,12
antiwork/flexile,human,Add,11,11,3,3,8,8
antiwork/flexile,agent,Subtract,0,0,0,0,0,0
antiwork/flexile,agent,Add,0,0,0,0,0,0
mlflow/mlflow,human,Subtract,14,14,12,12,2,2
mlflow/mlflow,human,Add,12,12,9,9,3,3
mlflow/mlflow,agent,Subtract,1,2,0,0,1,2
mlflow/mlflow,agent,Add,3,4,1,2,2,2
dotnet/aspire,human,Subtract,2,2,2,2,0,0
dotnet/aspire,human,Add,2,2,2,2,0,0
dotnet/aspire,agent,Subtract,0,0,0,0,0,0
dotnet/aspire,agent,Add,1,1,1,1,0,0
